,motivatedforjob,motivatedforadvancement,motivatedforitcert,Race/ethnicity,Gender,Age ,degreeprogram,firstchoiceorchanged
145,Yes,Yes,Yes,Hispanic or Latino;White/Caucasian,Woman,19-20,Information Technology,First Choice
146,Yes,Yes,No,White/Caucasian,Woman,19-20,CIS Game Development Option,First Choice
147,Yes,Yes,No,Hispanic or Latino,Man,25-34,Computer Science,Business
148,,,,White/Caucasian,Man,19-20,Undecided,
149,,,,White/Caucasian,Man,21-24,Undecided,
150,Yes,Yes,No,Black/African American,Man,19-20,Computer Science,Business
151,Yes,Yes,No,White/Caucasian,Man,19-20,Computer Science,First Choice
152,Yes,Yes,Yes,Asian,Woman,25-34,Web Development Certificate of Achievement,First Choice
153,Yes,No,Yes,Asian,Man,19-20,Computer Science,Engineering
154,,,,Hispanic or Latino,Man,21-24,Undecided,
155,,,,White/Caucasian,Man,25-34,Undecided,
156,Yes,No,Yes,Asian,Man,19-20,Computer Science,First Choice
157,,,,Hispanic or Latino,Man,19-20,Mechanical Engineering Technology,
158,,,,White/Caucasian,Man,19-20,Undecided,
159,Yes,No,No,Choose not to reply,Prefer not to say,21-24,Computer Science,First Choice
160,No,No,No,White/Caucasian,Man,65+,Computer Science,Photography
161,,,,White/Caucasian,Man,19-20,Undecided,
162,Yes,Yes,Yes,Hispanic or Latino;White/Caucasian,Man,25-34,Computer Science,First Choice
163,Yes,Yes,Yes,Black/African American,Man,18 and younger,Computer Science,Business
164,Yes,Yes,Yes,White/Caucasian,Man,21-24,Computer Science,First Choice
165,,,,Hispanic or Latino,Man,19-20,Political Science ,
166,,,,Hispanic or Latino,Man,21-24,Engineering Science,
167,Yes,Yes,Yes,White/Caucasian,Man,18 and younger,Information Technology,Business
168,Yes,No,Yes,White/Caucasian,Man,19-20,Information Technology,First Choice
169,Yes,Yes,No,White/Caucasian,Man,18 and younger,Information Technology,First Choice
170,Yes,Yes,No,White/Caucasian,Man,19-20,Information Technology,First Choice
171,Yes,No,No,Hispanic or Latino,Man,18 and younger,Information Technology,First Choice
172,,,,White/Caucasian,Man,25-34,Business Admin,
173,Yes,Yes,Yes,White/Caucasian,Woman,19-20,Computer Science,LIberal Arts
174,Yes,Yes,Yes,Asian;White/Caucasian,Man,19-20,Computer Science,First Choice
175,,,,White/Caucasian,Man,21-24,Mechanical engineering tech,
176,Yes,No,No,Hispanic or Latino,Man,18 and younger,Computer Science,First Choice
177,Yes,No,No,White/Caucasian,Man,19-20,Computer Science,First Choice
178,Yes,Yes,No,White/Caucasian,Man,21-24,Computer Science,Business
179,Yes,Yes,Yes,White/Caucasian,Man,21-24,Information Technology,First Choice
180,Yes,Yes,Yes,Asian,Man,18 and younger,Information Technology,First Choice
181,Yes,No,No,Asian,Woman,19-20,Computer Science,Science
